,realization,node,resistance,metric,max_level,avg_level
0,0,8103,0.25,10000,1,0.1245
1,0,8103,0.5,9720,9,0.3844
2,0,8103,0.75,8755,1,0.1245
3,0,8103,1.0,8755,1,0.1245
4,0,2890,0.25,10000,1,0.0835
5,0,2890,0.5,9707,7,0.294
6,0,2890,0.75,9165,1,0.0835
7,0,2890,1.0,9165,1,0.0835
8,0,3966,0.25,10000,1,0.1883
9,0,3966,0.5,9720,10,0.5957
10,0,3966,0.75,8117,1,0.1883
11,0,3966,1.0,8117,1,0.1883
12,0,7540,0.25,10000,1,0.0737
13,0,7540,0.5,9694,9,0.3419
14,0,7540,0.75,9263,1,0.0737
15,0,7540,1.0,9263,1,0.0737
16,0,3370,0.25,10000,1,0.1155
17,0,3370,0.5,9734,8,0.3542
18,0,3370,0.75,8845,1,0.1155
19,0,3370,1.0,8845,1,0.1155
20,0,9952,0.25,10000,2,0.3925
21,0,9952,0.5,9720,14,1.809
22,0,9952,0.75,6425,1,0.3575
23,0,9952,1.0,6425,1,0.3575
24,0,6163,0.25,10000,1,0.0443
25,0,6163,0.5,9779,7,0.1549
26,0,6163,0.75,9557,1,0.0443
27,0,6163,1.0,9557,1,0.0443
28,0,1156,0.25,10000,1,0.0975
29,0,1156,0.5,9773,7,0.2427
30,0,1156,0.75,9025,1,0.0975
31,0,1156,1.0,9025,1,0.0975
32,0,1994,0.25,10000,1,0.0471
33,0,1994,0.5,9707,6,0.1851
34,0,1994,0.75,9529,1,0.0471
35,0,1994,1.0,9529,1,0.0471
36,0,4354,0.25,10000,2,0.309
37,0,4354,0.5,9610,10,1.254
38,0,4354,0.75,7010,1,0.299
39,0,4354,1.0,7010,1,0.299
40,0,9113,0.25,10000,1,0.1078
41,0,9113,0.5,9729,7,0.294
42,0,9113,0.75,8922,1,0.1078
43,0,9113,1.0,8922,1,0.1078
44,0,9658,0.25,10000,2,0.2815
45,0,9658,0.5,9734,11,1.1059
46,0,9658,0.75,7223,1,0.2777
47,0,9658,1.0,7223,1,0.2777
48,0,9939,0.25,10000,1,0.1908
49,0,9939,0.5,9707,9,0.6196
50,0,9939,0.75,8092,1,0.1908
51,0,9939,1.0,8092,1,0.1908
52,0,3550,0.25,10000,2,0.218
53,0,3550,0.5,9711,9,0.6728
54,0,3550,0.75,7839,1,0.2161
55,0,3550,1.0,7839,1,0.2161
56,0,2061,0.25,10000,2,0.2597
57,0,2061,0.5,9682,9,0.8861
58,0,2061,0.75,7444,1,0.2556
59,0,2061,1.0,7444,1,0.2556
60,0,118,0.25,10000,2,0.3241
61,0,118,0.5,9734,12,1.3406
62,0,118,0.75,6896,1,0.3104
63,0,118,1.0,6896,1,0.3104
64,0,6222,0.25,10000,2,0.282
65,0,6222,0.5,9707,11,1.1326
66,0,6222,0.75,7230,1,0.277
67,0,6222,1.0,7230,1,0.277
68,0,8384,0.25,10000,2,0.2913
69,0,8384,0.5,9630,10,1.1267
70,0,8384,0.75,7161,1,0.2839
71,0,8384,1.0,7161,1,0.2839
72,0,6553,0.25,10000,1,0.0088
73,0,6553,0.5,9912,1,0.0088
74,0,6553,0.75,9912,1,0.0088
75,0,6553,1.0,9912,1,0.0088
76,0,3957,0.25,10000,1,0.0517
77,0,3957,0.5,9720,7,0.1904
78,0,3957,0.75,9483,1,0.0517
79,0,3957,1.0,9483,1,0.0517
80,0,9087,0.25,10000,1,0.1315
81,0,9087,0.5,9721,8,0.3768
82,0,9087,0.75,8685,1,0.1315
83,0,9087,1.0,8685,1,0.1315
84,0,2738,0.25,10000,2,0.2068
85,0,2738,0.5,9678,10,0.6552
86,0,2738,0.75,7949,1,0.2051
87,0,2738,1.0,7949,1,0.2051
88,0,9851,0.25,10000,2,0.3103
89,0,9851,0.5,9734,12,1.2455
90,0,9851,0.75,7004,1,0.2996
91,0,9851,1.0,7004,1,0.2996
92,0,5874,0.25,10000,1,0.0936
93,0,5874,0.5,9707,7,0.3132
94,0,5874,0.75,9064,1,0.0936
95,0,5874,1.0,9064,1,0.0936
96,0,4331,0.25,10000,2,0.4415
97,0,4331,0.5,9595,17,3.1833
98,0,4331,0.75,5981,1,0.4019
99,0,4331,1.0,5981,1,0.4019
100,0,9028,0.25,10000,2,0.6235
101,0,9028,0.5,4958,1,0.5042
102,0,9028,0.75,4958,1,0.5042
103,0,9028,1.0,4958,1,0.5042
104,0,5216,0.25,10000,1,0.0721
105,0,5216,0.5,9720,7,0.2397
106,0,5216,0.75,9279,1,0.0721
107,0,5216,1.0,9279,1,0.0721
108,0,2786,0.25,10000,1,0.1987
109,0,2786,0.5,9690,10,0.6821
110,0,2786,0.75,8013,1,0.1987
111,0,2786,1.0,8013,1,0.1987
112,0,1051,0.25,10000,2,0.6127
113,0,1051,0.5,5051,1,0.4949
114,0,1051,0.75,5051,1,0.4949
115,0,1051,1.0,5051,1,0.4949
116,0,7144,0.25,10000,1,0.1695
117,0,7144,0.5,9690,9,0.5354
118,0,7144,0.75,8305,1,0.1695
119,0,7144,1.0,8305,1,0.1695
120,0,5256,0.25,10000,2,0.4016
121,0,5256,0.5,9690,14,1.9878
122,0,5256,0.75,6346,1,0.3654
123,0,5256,1.0,6346,1,0.3654
124,0,7846,0.25,10000,2,0.3322
125,0,7846,0.5,9652,12,1.368
126,0,7846,0.75,6827,1,0.3173
127,0,7846,1.0,6827,1,0.3173
128,0,640,0.25,10000,2,0.4798
129,0,640,0.5,9658,19,3.8154
130,0,640,0.75,5816,1,0.4184
131,0,640,1.0,5816,1,0.4184
132,0,8239,0.25,10000,2,0.3994
133,0,8239,0.5,9690,14,2.0079
134,0,8239,0.75,6376,1,0.3624
135,0,8239,1.0,6376,1,0.3624
136,0,2315,0.25,10000,1,0.1114
137,0,2315,0.5,9741,8,0.3165
138,0,2315,0.75,8886,1,0.1114
139,0,2315,1.0,8886,1,0.1114
140,0,6155,0.25,10000,2,0.1703
141,0,6155,0.5,9688,9,0.5034
142,0,6155,0.75,8298,1,0.1702
143,0,6155,1.0,8298,1,0.1702
144,0,2892,0.25,10000,2,0.2716
145,0,2892,0.5,9707,11,1.0672
146,0,2892,0.75,7330,1,0.267
147,0,2892,1.0,7330,1,0.267
148,0,4897,0.25,10000,2,0.2765
149,0,4897,0.5,9720,11,1.0028
150,0,4897,0.75,7290,1,0.271
151,0,4897,1.0,7290,1,0.271
152,0,8811,0.25,10000,2,0.3501
153,0,8811,0.5,9690,13,1.5438
154,0,8811,0.75,6704,1,0.3296
155,0,8811,1.0,6704,1,0.3296
156,0,6943,0.25,10000,1,0.1867
157,0,6943,0.5,9690,9,0.6303
158,0,6943,0.75,8133,1,0.1867
159,0,6943,1.0,8133,1,0.1867
160,0,9226,0.25,10000,2,0.5323
161,0,9226,0.5,5897,18,7.529
162,0,9226,0.75,5446,1,0.4554
163,0,9226,1.0,5446,1,0.4554
164,0,9746,0.25,10000,2,0.2401
165,0,9746,0.5,9707,10,0.8219
166,0,9746,0.75,7621,1,0.2379
167,0,9746,1.0,7621,1,0.2379
168,0,2829,0.25,10000,2,0.5083
169,0,2829,0.5,9594,29,7.8099
170,0,2829,0.75,5570,1,0.443
171,0,2829,1.0,5570,1,0.443
172,0,4403,0.25,10000,3,0.7968
173,0,4403,0.5,4360,1,0.564
174,0,4403,0.75,4360,1,0.564
175,0,4403,1.0,4360,1,0.564
