resistance,node,metric,max_level,avg_level
0.25,32,24.48,1.0,-0.9746800000000002
0.25,64,25.7,1.0,-0.9729000000000001
0.25,99,25.62,1.0,-0.9738040000000002
0.25,128,26.62,1.0,-0.9723880000000001
0.25,175,25.04,1.0,-0.9742000000000001
0.25,199,25.1,1.0,-0.9747879999999998
0.25,206,25.24,1.0,-0.9726559999999997
0.25,255,27.02,1.0,-0.972324
0.25,263,25.7,1.0,-0.9729879999999999
0.25,280,25.72,1.0,-0.9738720000000001
0.25,284,24.44,1.0,-0.9739359999999999
0.25,331,24.46,1.0,-0.9740600000000004
0.25,541,25.32,1.0,-0.9744560000000001
0.25,610,26.32,1.0,-0.9724879999999998
0.25,694,25.76,1.0,-0.9735279999999998
0.25,743,24.08,1.0,-0.9743440000000002
0.25,747,27.48,1.0,-0.9717839999999999
0.25,771,25.68,1.0,-0.9727119999999999
0.25,784,24.38,1.0,-0.973772
0.25,788,25.94,1.0,-0.9730039999999999
0.25,828,24.3,1.0,-0.9748359999999999
0.25,886,25.24,1.0,-0.9741839999999999
0.25,934,27.26,1.0,-0.9723080000000002
0.25,936,24.1,1.0,-0.9747559999999998
0.25,974,25.44,1.0,-0.9733039999999998
0.25,992,25.64,1.0,-0.9743839999999997
0.25,1040,24.1,1.0,-0.9738520000000002
0.25,1087,24.88,1.0,-0.9737440000000004
0.25,1092,26.82,1.0,-0.9717639999999997
0.25,1125,24.92,1.0,-0.9733519999999999
0.25,1132,25.08,1.0,-0.9739679999999998
0.25,1158,25.48,1.0,-0.9741359999999998
0.25,1172,25.1,1.0,-0.9738359999999999
0.25,1185,23.12,1.0,-0.9750800000000001
0.25,1281,26.28,1.0,-0.9730880000000002
0.25,1313,26.58,1.0,-0.9734119999999996
0.25,1404,24.26,1.0,-0.97434
0.25,1409,25.16,1.0,-0.9727039999999998
0.25,1419,26.52,1.0,-0.9725360000000001
0.25,1453,26.12,1.0,-0.972248
0.25,1483,23.64,1.0,-0.9755440000000002
0.25,1523,25.08,1.0,-0.9741359999999999
0.25,1524,25.74,1.0,-0.973044
0.25,1526,26.76,1.0,-0.9723599999999999
